日期,总资产,可用资金,持仓数量,今日收益,累计收益,买入数量,卖出数量,买入标的,卖出标的
20260105,999943.6699999999,812150.6699999999,4,-5.633000000004884e-05,-5.63300000000745e-05,4,0,"000858,002415,601398,002230",
20260112,1009138.97,902917.97,2,0.005530453029128024,0.009138969999999972,0,2,,"000858,601398"
20260119,1009362.39,810962.39,4,-0.0023677401819724997,0.009362390000000014,2,0,"000858,601398",
20260126,1005064.9,899025.9,2,-0.00029292012680159907,0.005064900000000023,0,2,,"000858,601398"
20260128,1004752.86,951525.86,1,0.00038428187946060177,0.004752859999999986,0,1,,002230
20260202,1004013.96,811821.96,4,0.00041560512654448267,0.004013959999999963,3,0,"000858,002230,601398",
20260206,1002645.6699999999,855898.6699999999,3,-0.0013160692061021662,0.0026456699999999255,0,1,,002230
20260209,1002426.6399999999,860717.6399999999,3,-0.000218452047970219,0.0024266399999998975,1,1,002230,601398
20260302,996854.8399999999,947579.8399999999,1,-0.002381622798825367,-0.003145160000000149,1,3,601398,"002415,000858,002230"
20260309,997941.9299999998,862664.9299999998,3,-0.00037353947377971597,-0.0020580700000001817,3,1,"000858,002230,002415",601398
20260316,1000593.7099999997,859042.7099999997,3,0.00017670632583155488,0.0005937099999997299,1,1,601398,002230
20260323,997600.6099999998,899061.6099999998,2,-0.0034016788975159695,-0.0023993900000002467,1,2,002230,"000858,002415"
20260330,997427.6499999998,854048.6499999998,3,0.00029388208679281824,-0.0025723500000002096,2,1,"000858,002415",002230
20260413,999424.5199999999,897840.5199999999,2,0.0011558689018855706,-0.0005754800000000978,1,2,002230,"601398,000858"
20260420,1004094.2,806773.2,4,0.00294730969242063,0.004094199999999953,2,0,"000858,601398",
20260427,1003774.1,846861.1,3,0.00044741226473732354,0.003774099999999977,0,1,,000858
20260511,1006300.1,846861.1,3,0.0001520652397646316,0.006300099999999977,0,0,,
20260518,998518.69,955108.69,1,-0.00048489339022073086,-0.001481310000000056,1,3,000858,"002415,002230,601398"
20260525,996761.6599999999,851314.6599999999,3,-0.0003630743142809534,-0.003238340000000084,3,1,"002415,002230,601398",000858
